task_id,condition,actual_success,declared_success,is_false_completion,is_verified,attempts_used,tokens,cost_usd
CONF-001,Condition A (Baseline 1-shot),False,True,True,False,1,14617,0.0195
CONF-001,Condition B (Baseline + 3 Retries),True,True,False,True,1,13721,0.0183
CONF-001,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13954,0.0186
CONF-001,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27814,0.036
CONF-002,Condition A (Baseline 1-shot),False,False,False,False,1,12292,0.0164
CONF-002,Condition B (Baseline + 3 Retries),True,True,False,True,1,14983,0.02
CONF-002,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13950,0.0186
CONF-002,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13950,0.018
CONF-003,Condition A (Baseline 1-shot),True,True,False,True,1,12761,0.017
CONF-003,Condition B (Baseline + 3 Retries),False,True,True,False,1,14641,0.0195
CONF-003,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13953,0.0186
CONF-003,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13953,0.018
CONF-004,Condition A (Baseline 1-shot),True,True,False,True,1,12600,0.0168
CONF-004,Condition B (Baseline + 3 Retries),True,True,False,True,1,14909,0.0199
CONF-004,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13953,0.0186
CONF-004,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13953,0.018
CONF-005,Condition A (Baseline 1-shot),True,True,False,True,1,14655,0.0195
CONF-005,Condition B (Baseline + 3 Retries),False,True,True,False,1,13655,0.0182
CONF-005,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13953,0.0186
CONF-005,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13953,0.018
CONF-006,Condition A (Baseline 1-shot),True,True,False,True,1,13960,0.0186
CONF-006,Condition B (Baseline + 3 Retries),True,True,False,True,1,13394,0.0179
CONF-006,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13960,0.0186
CONF-006,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13960,0.018
CONF-007,Condition A (Baseline 1-shot),False,True,True,False,1,14385,0.0192
CONF-007,Condition B (Baseline + 3 Retries),True,True,False,True,1,12822,0.0171
CONF-007,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13957,0.0186
CONF-007,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27817,0.036
CONF-008,Condition A (Baseline 1-shot),True,True,False,True,1,14740,0.0197
CONF-008,Condition B (Baseline + 3 Retries),True,True,False,True,1,13659,0.0182
CONF-008,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13952,0.0186
CONF-008,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27812,0.036
CONF-009,Condition A (Baseline 1-shot),True,True,False,True,1,12845,0.0171
CONF-009,Condition B (Baseline + 3 Retries),True,True,False,True,1,12737,0.017
CONF-009,Condition C (Evidence-Gated 1-shot),False,False,False,False,1,13954,0.0186
CONF-009,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,3,41674,0.054
CONF-010,Condition A (Baseline 1-shot),True,True,False,True,1,14309,0.0191
CONF-010,Condition B (Baseline + 3 Retries),True,True,False,True,2,25877,0.0345
CONF-010,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13950,0.0186
CONF-010,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27810,0.036
CONF-011,Condition A (Baseline 1-shot),True,True,False,True,1,14765,0.0197
CONF-011,Condition B (Baseline + 3 Retries),True,True,False,True,1,12135,0.0162
CONF-011,Condition C (Evidence-Gated 1-shot),False,False,False,False,1,13953,0.0186
CONF-011,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27813,0.036
CONF-012,Condition A (Baseline 1-shot),True,True,False,True,1,12235,0.0163
CONF-012,Condition B (Baseline + 3 Retries),True,True,False,True,1,14446,0.0193
CONF-012,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13953,0.0186
CONF-012,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,1,13953,0.018
CONF-013,Condition A (Baseline 1-shot),False,True,True,False,1,13357,0.0178
CONF-013,Condition B (Baseline + 3 Retries),True,True,False,True,2,24437,0.0326
CONF-013,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13953,0.0186
CONF-013,Condition D (Evidence-Gated + 3 Retries),True,True,False,True,2,27813,0.036
CONF-014,Condition A (Baseline 1-shot),True,True,False,True,1,14902,0.0199
CONF-014,Condition B (Baseline + 3 Retries),True,True,False,True,1,13805,0.0184
CONF-014,Condition C (Evidence-Gated 1-shot),True,True,False,True,1,13960,0.0186
