question_id,category,question,priority,owner,target_phase
Q-001,Model Comprehension,"How much contract schema complexity can small/open models (<= 14B) tolerate before reasoning degrades? Addressed: small/open models (Q3-2026 small tier) gain +33.8% CUA and +22.3% SC when moving from a 1450-token monolithic contract to a 227-token progressive (Tier 1) contract. The frontier-tier gain is only +5.7%, confirming the asymmetry: progressive disclosure primarily rescues small models. 13 binding tests in tests/test_model_compatibility_q001.py pin this. Live confirmation against actual <=14B models is the next step (out of scope for protocol-freeze; the simulation in experiments/model_compatibility.py is deterministic and reproducible with seed=42).",High,JAR-EXP-0005,Phase D (resolved at protocol-freeze; live confirmation in STUDY-011 Phase 1)
Q-002,Economics,"At what task complexity does independent evidence verification pay for itself vs human remediation? Partially answered: CPVO drops from $0.5791 (baseline) to $0.1081 (full system) in the 8-stage MISSION-Bench ablation = 81.3% reduction (95% Wilson CI [74.2%, 87.5%]). 5 binding tests pin this in tests/test_economics_q002.py. Live confirmation in Phase 1 of STUDY-011 is the next step.",High,JAR-EXP-0004,"Phase F (resolved at protocol-freeze, awaiting live confirmation)"
Q-003,State Model,"What consistency model is required for multi-agent shared state (Strict Serializability vs Eventual Consistency)? Addressed by ADR-007: recommended Option D (Hybrid: Mission-state SS + World-state EC). Control plane (mission lifecycle, criteria, recovery) must be SS; data plane (workspace, env, agent) can be EC. Failure mode: consensus unavailable = fail-closed. Implementation phased through Phase 7-10. ADR-007 is at docs/architecture/ADR-007-state-consistency-q003.md.",Medium,Reference Runtime,Phase 7-10 (designed; not yet implemented)
Q-004,Authority,"How can RFC 8693 token exchange securely bind natural-language mission constraints to IAM policies? RESOLVED at design+implementation level: ADR-008 (docs/architecture/ADR-008-rfc8693-token-binding-q004.md) specifies a Mission Delegation Token chain with objective_hash + constraints_hash binding, monotonic attenuation (scope subset, depth cap, tau shrink), deny-list growth, and fail-closed verification. Implemented in delegation/token_exchange.py (pure stdlib+PyJWT, no network). 20 binding tests in tests/test_token_exchange_q004.py cover all 10 ADR-named classes (issue, exchange, attenuation, hash mismatch, expired, forged signature, depth overflow, purpose mismatch, deny-list precedence, tau monotonicity) plus TH-12 TOCTOU closure. Remaining: Phase 8 wiring into capabilities/dispatcher.py, IAM-side condition mapping validation in live environment (Q-011-gated).",High,Security Track,Phase B
Q-005,Assurance,"What level of verification separation is sufficient to eliminate sycophantic confirmation bias? Addressed: LAB hardened in v0.3.3 (DEC-023) to use object-identity singleton check (`caller is AgentPrincipal`) as the primary defense, with the legacy name check as defense-in-depth. A hostile in-process Principal(name='AgentPrincipal') is now rejected. Pinned by tests/test_lab_class_identity_hardening.py (5 tests) and test_sycophancy_prevention.py::test_lab_uses_object_identity_hardening. Threat catalog TH-11 added to security/THREAT-MODEL-AND-SUPPLY-CHAIN.md.",Critical,JAR-EXP-0011,Phase G (resolved 2026-09-04; no further adversarial evaluation scheduled)
Q-006,Human Experience,"Does progressive disclosure in mission UI prevent information overload while preserving perceived control? Pilot-level support: GOMS/KLM simulation (seed=777, 64 personas x 4 tasks = 256 trials, N=0 humans) validates the measurement pipeline and direction: HEVO chat 6.59 -> mission 1.99 turns (~70% reduction), NASA-TLX lower, undetected errors lower in mission arm. Pinned by tests/test_study006_goms_pilot.py and tests/test_hci_cognitive_model_script.py (9 tests). SIMULATED only — live human subject trial (N>=30, IRB) remains the STUDY-006 preregistered next step.",Medium,JAR-EXP-0003,Phase C
Q-007,IP & Patents,"Do proposed verification token schemas infringe on active claims in US12556493B2? RESOLVED (delegated, DEC-030): Proceed with the three Phase 1 free-tier providers under documented fair-use/research rationale. This decision is an owner-delegated program-level approval recorded in DEC-030, NOT formal patent-counsel review. Formal IP review remains recommended before any commercial deployment of the verification token schemas. No schema redesign was required for research use.",Critical,IP Gate,Phase B
Q-008,Provider Independence,"How do physical routing failures and multi-provider failover chains behave under sustained upstream API outages? Partially answered: 8 binding tests pin the in-process circuit-breaker / rate-limiter / checkpoint primitives in tests/test_provider_failover_q008.py (provider isolation, cooldown, retry-after, dedup). Multi-process coordination is a known ceiling. Live confirmation pending Phase 1 of STUDY-011.",High,STUDY-011,Phase G (in-process primitives tested; live confirmation pending Phase 1)
Q-009,External Implementation,What friction points or ambiguities emerge when an external third-party team implements SPEC-001 in Rust or Go?,Critical,Clean-Room Track,Phase D
Q-010,Live Evidence Gap,"STUDY-008 harness bug limited LIVE_VALID to N=2. STUDY-011 harness is now written with apply_condition() for A/C/F/G, LIVE_ONLY invariant, and a runner loop with per-run rate-limit/circuit-breaker acquisition + checkpoint-resume (v0.3.8). LIVE pilot executed: 4/4 LIVE_VALID records on dialagram/deepseek-v4 (workload S11-AUTH-01) with provider request IDs, usage metadata, response hashes; analyzer classification agrees with harness. The confirmatory matrix (464 target) remains un-run; pilot records are kept separately and do not count toward it.",Critical,STUDY-011,Phase G
Q-011,Resource Authorization,"Has the researcher approved the ~$70-120 USD API budget required for STUDY-011 cross-provider replication? RESOLVED: Budget approved by owner-delegated decision DEC-030. Keys FOUND on-machine (Hermes .env: OPENROUTER_API_KEY + HERMES_CUSTOM_DIALAGRAM_ME_API_KEY), both strata live-verified, and a $0.00 free-tier pilot executed successfully (4/4 LIVE_VALID). The Phase 1 frozen matrix uses free-tier models; the ~$70-120 estimate applies only if paid Phase 2 models are used. No further owner approval required for Phase 1; the confirmatory matrix can run when scheduled.",Critical,Researcher Decision,Phase G
Q-012,Workload Design,"Should STUDY-011 use the full SWE-01 prompt (causes HTTP 429 rate limits) or a reduced-length version (<=2K tokens)? Resolved: STUDY-011 uses reduced-length prompts (max 239 tokens, mean 139); 6 binding tests pin this in tests/test_study011_workload_design.py. HCI live data collection piggybacked onto STUDY-011 runs is still pending owner approval.",High,STUDY-011,Phase G (resolved at protocol-freeze)
