subject_id,modality,task_id,task_name,hevo_interventions,reading_time_sec,total_time_sec,nasa_tlx_score,undetected_error
S-CHAT-01,chat_only,TASK-1,Production Hotfix Deployment,6,330.7,450.4,60.0,False
S-CHAT-01,chat_only,TASK-2,Database Schema Migration,7,441.0,587.5,64.9,False
S-CHAT-01,chat_only,TASK-3,Prompt Injection Mitigation,9,294.0,446.8,71.0,False
S-CHAT-01,chat_only,TASK-4,Budget Surge Recovery,9,385.8,549.8,65.9,False
S-CHAT-02,chat_only,TASK-1,Production Hotfix Deployment,7,315.5,456.0,58.6,False
S-CHAT-02,chat_only,TASK-2,Database Schema Migration,6,420.6,543.7,66.4,False
S-CHAT-02,chat_only,TASK-3,Prompt Injection Mitigation,4,280.4,378.3,62.7,True
S-CHAT-02,chat_only,TASK-4,Budget Surge Recovery,8,368.0,521.0,64.1,True
S-CHAT-03,chat_only,TASK-1,Production Hotfix Deployment,8,310.6,458.6,70.1,False
S-CHAT-03,chat_only,TASK-2,Database Schema Migration,6,414.1,531.5,70.3,False
S-CHAT-03,chat_only,TASK-3,Prompt Injection Mitigation,9,276.1,443.8,61.7,False
S-CHAT-03,chat_only,TASK-4,Budget Surge Recovery,9,362.4,531.0,60.7,False
S-CHAT-04,chat_only,TASK-1,Production Hotfix Deployment,8,372.1,520.5,60.8,False
S-CHAT-04,chat_only,TASK-2,Database Schema Migration,7,496.2,636.7,61.5,False
S-CHAT-04,chat_only,TASK-3,Prompt Injection Mitigation,5,330.8,430.7,67.3,True
S-CHAT-04,chat_only,TASK-4,Budget Surge Recovery,5,434.2,540.1,74.3,False
S-CHAT-05,chat_only,TASK-1,Production Hotfix Deployment,5,366.2,478.2,60.2,False
S-CHAT-05,chat_only,TASK-2,Database Schema Migration,7,488.3,625.6,60.0,False
S-CHAT-05,chat_only,TASK-3,Prompt Injection Mitigation,5,325.5,423.1,63.9,True
S-CHAT-05,chat_only,TASK-4,Budget Surge Recovery,9,427.2,589.6,65.9,False
S-CHAT-06,chat_only,TASK-1,Production Hotfix Deployment,4,340.3,434.2,64.2,False
S-CHAT-06,chat_only,TASK-2,Database Schema Migration,6,453.8,572.5,58.0,False
S-CHAT-06,chat_only,TASK-3,Prompt Injection Mitigation,5,302.5,400.5,64.7,False
S-CHAT-06,chat_only,TASK-4,Budget Surge Recovery,9,397.0,572.5,64.7,False
S-CHAT-07,chat_only,TASK-1,Production Hotfix Deployment,4,346.5,435.7,69.6,False
S-CHAT-07,chat_only,TASK-2,Database Schema Migration,8,462.0,613.6,63.9,False
S-CHAT-07,chat_only,TASK-3,Prompt Injection Mitigation,7,308.0,443.4,63.5,False
S-CHAT-07,chat_only,TASK-4,Budget Surge Recovery,9,404.3,570.8,64.3,True
S-CHAT-08,chat_only,TASK-1,Production Hotfix Deployment,4,364.8,450.5,62.2,False
S-CHAT-08,chat_only,TASK-2,Database Schema Migration,8,486.3,630.9,65.1,False
S-CHAT-08,chat_only,TASK-3,Prompt Injection Mitigation,4,324.2,416.0,68.8,False
S-CHAT-08,chat_only,TASK-4,Budget Surge Recovery,9,425.5,590.2,62.4,False
S-CHAT-09,chat_only,TASK-1,Production Hotfix Deployment,5,361.3,463.7,62.8,False
S-CHAT-09,chat_only,TASK-2,Database Schema Migration,9,481.7,645.4,64.1,False
S-CHAT-09,chat_only,TASK-3,Prompt Injection Mitigation,4,321.1,415.1,58.9,False
S-CHAT-09,chat_only,TASK-4,Budget Surge Recovery,4,421.5,508.4,63.2,True
S-CHAT-10,chat_only,TASK-1,Production Hotfix Deployment,9,332.1,502.1,61.0,False
S-CHAT-10,chat_only,TASK-2,Database Schema Migration,8,442.8,584.5,63.2,False
S-CHAT-10,chat_only,TASK-3,Prompt Injection Mitigation,5,295.2,401.6,69.4,False
S-CHAT-10,chat_only,TASK-4,Budget Surge Recovery,5,387.4,492.4,61.8,True
S-CHAT-11,chat_only,TASK-1,Production Hotfix Deployment,8,335.5,483.1,61.9,False
S-CHAT-11,chat_only,TASK-2,Database Schema Migration,8,447.3,600.6,63.4,False
S-CHAT-11,chat_only,TASK-3,Prompt Injection Mitigation,4,298.2,392.9,60.5,False
S-CHAT-11,chat_only,TASK-4,Budget Surge Recovery,6,391.4,512.7,60.0,True
S-CHAT-12,chat_only,TASK-1,Production Hotfix Deployment,4,347.9,438.9,61.3,False
S-CHAT-12,chat_only,TASK-2,Database Schema Migration,4,463.8,567.7,58.3,False
S-CHAT-12,chat_only,TASK-3,Prompt Injection Mitigation,8,309.2,451.7,59.6,True
S-CHAT-12,chat_only,TASK-4,Budget Surge Recovery,9,405.8,564.8,65.9,True
S-CHAT-13,chat_only,TASK-1,Production Hotfix Deployment,6,296.4,423.1,62.1,False
S-CHAT-13,chat_only,TASK-2,Database Schema Migration,9,395.3,560.8,61.4,False
S-CHAT-13,chat_only,TASK-3,Prompt Injection Mitigation,9,263.5,419.3,61.1,True
S-CHAT-13,chat_only,TASK-4,Budget Surge Recovery,9,345.9,516.5,61.5,True
S-CHAT-14,chat_only,TASK-1,Production Hotfix Deployment,6,281.3,399.6,55.8,False
S-CHAT-14,chat_only,TASK-2,Database Schema Migration,5,375.0,481.4,59.7,False
S-CHAT-14,chat_only,TASK-3,Prompt Injection Mitigation,9,250.0,418.9,61.3,False
S-CHAT-14,chat_only,TASK-4,Budget Surge Recovery,4,328.2,424.6,71.7,False
S-CHAT-15,chat_only,TASK-1,Production Hotfix Deployment,7,323.4,467.9,61.4,False
S-CHAT-15,chat_only,TASK-2,Database Schema Migration,5,431.2,536.8,60.9,False
S-CHAT-15,chat_only,TASK-3,Prompt Injection Mitigation,4,287.5,376.5,60.7,False
S-CHAT-15,chat_only,TASK-4,Budget Surge Recovery,5,377.3,487.4,61.0,False
S-CHAT-16,chat_only,TASK-1,Production Hotfix Deployment,4,337.6,420.4,70.1,False
S-CHAT-16,chat_only,TASK-2,Database Schema Migration,5,450.1,555.4,66.6,False
S-CHAT-16,chat_only,TASK-3,Prompt Injection Mitigation,7,300.1,428.6,64.2,False
S-CHAT-16,chat_only,TASK-4,Budget Surge Recovery,8,393.8,540.8,65.8,True
