CLAIM,RAW EVIDENCE,EVIDENCE TYPE,SOURCE,SAMPLE SIZE,STATISTICAL RESULT,CONFIDENCE INTERVAL,REPRODUCIBLE?,EXTERNALLY INDEPENDENT?,SIMULATED OR LIVE?,LIMITATIONS,STATUS
No false completions observed in evaluated sample under evidence gating,data/results_mission_bench.csv; data/results_confounder_analysis.csv,Quantitative Benchmark,experiments/mission_bench.py,100 tasks (800 runs),FCR = 0.0% vs Baseline 84.7% (Cohen's h = 2.34),"95% Wilson CI: [0.0%, 3.89%]",YES,NO,SIMULATED,Zero population failure impossible to prove without formal verification of verifiers; evaluated on calibrated workloads,SIMULATION_SUPPORTED
Control plane core payload token footprint is bounded under 250 tokens,schemas/mission.v0alpha1.json; prototype/progressive.py,Static Schema Measurement & Tokenizer Profiling,tests/test_schemas.py,50 serialized missions,227 tokens serialized,"95% CI: [220, 235] tokens",YES,YES,LIVE,Core payload only; extensive third-party tool definitions add additional tokens,INTERNALLY_SUPPORTED
Automated verification recovery inverts economics reducing CPVO by 81%,data/results_mission_bench.csv; STUDY-002,Quantitative Cost Analysis,experiments/mission_bench.py,800 ablation runs,CPVO drops from $0.5791 to $0.1081 (-81.3%),"95% CI: [74.2%, 87.5%]",YES,NO,SIMULATED,Dependent on token pricing schedules and failure distribution assumptions,SIMULATION_SUPPORTED
Operators prefer mission-centric exception UX over chat-only interfaces,STUDY-006-HCI-PREREGISTRATION.md; prototype/dashboard.py,Architectural Walkthrough / Cognitive Simulation,experiments/hci_cognitive_model.py,0 live humans (64 simulated personas),N/A (HEVO -69.8% in GOMS model),N/A,PARTIALLY,NO,SIMULATED,No live human participant data collected yet; preregistration protocol only,UNTESTED
SPEC-001 has been independently reproduced clean-room,external_validation_pack/implementations/node_runtime/engine.js; validation/independent_runtime.py,Multi-Platform Implementation & Conformance,tests/test_node_conformance.py; tests/test_validation.py,14 normative test cases across 3 implementations,14/14 Passed (100.0%) across Python and Node.js,"[100%, 100%]",YES,NO,LIVE,All implementations authored in-tree within same program; external reproduction challenge pending,PARTIALLY_SUPPORTED
Authority delegation strictly attenuates authority across sub-agents,security/test_security_suite.py; runtime/engine.py,Automated Security Verification,security/test_security_suite.py,13 security vectors + 410 fuzz mutations,100.0% blocked on out-of-scope and privilege widening attempts,"[100%, 100%]",YES,NO,LIVE,RFC 8693 provides exchange format; attenuation is our normative constraint,INTERNALLY_SUPPORTED
Evidence gating is the causal prerequisite enabling retry loops to work,data/results_confounder_analysis.csv; STUDY-005,Confounder Ablation Experiment,experiments/confounder_analysis.py,400 runs across 100 tasks,McNemar test p < 0.0001; VSR +29.0%,"95% Wilson CI on Delta: [18.2%, 39.1%]",YES,NO,SIMULATED,Evaluated on calibrated multi-domain workloads,SIMULATION_SUPPORTED
Progressive disclosure restores small/open model contract compliance,STUDY-004-MODEL-COMPATIBILITY-REPORT.md; experiments/model_compatibility.py,Model Compatibility Study,experiments/model_compatibility.py,9 model tiers across 10 tasks,Small models compliance 40.0% -> 83.0%; Interference 25.0% -> 2.0%,"95% CI: [+32.5%, +53.5%]",YES,NO,SIMULATED,Calibrated against published open model benchmark performance,SIMULATION_SUPPORTED
Trajectory hash-chaining with external signed anchoring prevents full-history rewrite,runtime/anchoring.py; tests/test_anchoring.py,Cryptographic Verification,tests/test_anchoring.py,100 mutated trajectory histories,100% full-history rewrites detected via external signed anchors,"[100%, 100%]",YES,NO,LIVE,Requires secure out-of-band anchor ledger; hash chain alone insufficient,INTERNALLY_SUPPORTED
No false completions observed in the LIVE_VALID sample under evidence gating (2 LIVE_VALID / 9 LIVE_PROVIDER_FAILURE / 264 SIMULATED from 275 attempted runs),data/live_results.csv; data/live_run_manifest.json,Live Multi-Model Benchmark (Partial),experiments/live_benchmark/run_study_008.py; experiments/live_benchmark/normalize_and_analyze.py,"275 attempted; 2 LIVE_VALID, 9 LIVE_PROVIDER_FAILURE, 264 SIMULATED","Simulated conditions: McNemar chi2=40.024, p<0.000001, Cohen's h=1.671 (A vs G FCR); LIVE_VALID cell: N=2, FCR=0.0%, 95% Wilson CI [0.0%, 79.3%] — insufficient for inference","LIVE_VALID 95% Wilson CI: [0.0%, 79.3%] (N=2, non-inferential)",YES,NO,PARTIAL — 2/275 LIVE_VALID; 264 SIMULATED due to harness bug (is_live_call = idx==0),Harness bug caused 264/275 runs to use offline simulation. 9 LIVE_PROVIDER_FAILURE due to rate limiting on SWE-01 full prompt. Only 2 confirmed live model calls. Router evaluation separately classified SIMULATION_SUPPORTED.,PARTIAL_LIVE_SUPPORTED
