task_id,condition,difficulty,actual_success,declared_success,is_verified,is_false_completion,total_tokens,control_plane_tokens,cost_usd,time_sec
SWE-001,Condition 1 (Baseline),easy,True,True,True,False,12899,0,0.0172,4.09
SWE-001,Condition 2 (Prompted Criteria),easy,True,True,True,False,12245,250,0.0163,4.94
SWE-001,Condition 3 (LLM Judge),easy,True,True,True,False,17047,1650,0.0377,7.74
SWE-001,Condition 4 (Evidence-Gated Runtime),easy,True,True,True,False,20324,824,0.031,6.3
SWE-002,Condition 1 (Baseline),easy,True,True,True,False,14605,0,0.0195,3.75
SWE-002,Condition 2 (Prompted Criteria),easy,False,False,False,False,11794,250,0.0157,4.77
SWE-002,Condition 3 (LLM Judge),easy,True,True,True,False,16507,1650,0.037,8.41
SWE-002,Condition 4 (Evidence-Gated Runtime),easy,True,True,True,False,13960,460,0.023,4.73
SWE-003,Condition 1 (Baseline),easy,False,False,False,False,12574,0,0.0168,4.89
SWE-003,Condition 2 (Prompted Criteria),easy,True,True,True,False,12911,250,0.0172,4.76
SWE-003,Condition 3 (LLM Judge),easy,False,False,False,False,14091,1650,0.0338,7.6
SWE-003,Condition 4 (Evidence-Gated Runtime),easy,True,True,True,False,13963,463,0.023,4.73
SWE-004,Condition 1 (Baseline),easy,True,True,True,False,13284,0,0.0177,4.38
SWE-004,Condition 2 (Prompted Criteria),easy,True,True,True,False,13333,250,0.0178,4.71
SWE-004,Condition 3 (LLM Judge),easy,True,True,True,False,15757,1650,0.036,7.59
SWE-004,Condition 4 (Evidence-Gated Runtime),easy,True,True,True,False,13963,463,0.023,4.73
SWE-005,Condition 1 (Baseline),easy,True,True,True,False,14624,0,0.0195,4.68
SWE-005,Condition 2 (Prompted Criteria),easy,True,True,True,False,15079,250,0.0201,4.65
SWE-005,Condition 3 (LLM Judge),easy,True,True,True,False,15373,1650,0.0355,8.37
SWE-005,Condition 4 (Evidence-Gated Runtime),easy,True,True,True,False,13963,463,0.023,4.73
SWE-006,Condition 1 (Baseline),easy,True,True,True,False,14317,0,0.0191,3.89
SWE-006,Condition 2 (Prompted Criteria),easy,False,False,False,False,13878,250,0.0185,4.87
