tier,model_name,contract_format,prompt_id,prompt_category,replication,prompt_tokens,contract_tokens,context_pressure,contract_understanding_accuracy,semantic_compliance,schema_compliant,instruction_interference
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,1,110,0,0.00055,0.8084,0.8215,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,2,110,0,0.00055,0.7865,0.8334,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,3,110,0,0.00055,0.8142,0.8606,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,4,110,0,0.00055,0.8235,0.8252,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,5,110,0,0.00055,0.7953,0.8218,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,6,110,0,0.00055,0.7831,0.8503,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,7,110,0,0.00055,0.7716,0.8319,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,8,110,0,0.00055,0.809,0.8527,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,9,110,0,0.00055,0.7832,0.8554,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,10,110,0,0.00055,0.8186,0.8204,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,11,110,0,0.00055,0.8183,0.8619,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,12,110,0,0.00055,0.7904,0.8293,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,13,110,0,0.00055,0.8274,0.8402,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,14,110,0,0.00055,0.7756,0.8258,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,15,110,0,0.00055,0.8208,0.8562,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,16,110,0,0.00055,0.8184,0.8638,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,17,110,0,0.00055,0.8022,0.8784,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,18,110,0,0.00055,0.7927,0.8531,False,0.0
