policy,workload_id,domain,selected_provider,selected_model,verified_success,cost_usd,latency_ms,routing_failure,constraint_violation
FIXED_FRONTIER,SWE-01,software_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SWE-02,software_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SWE-03,software_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SWE-04,software_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SWE-05,software_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SRE-01,devops_sre,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SRE-02,devops_sre,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SRE-03,devops_sre,dialagram,qwen-3.8-max,False,0.0045,1450.0,False,False
FIXED_FRONTIER,SRE-04,devops_sre,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,SRE-05,devops_sre,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,DE-01,data_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,DE-02,data_engineering,dialagram,qwen-3.8-max,False,0.0045,1450.0,False,False
FIXED_FRONTIER,DE-03,data_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,DE-04,data_engineering,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,DE-05,data_engineering,dialagram,qwen-3.8-max,False,0.0045,1450.0,False,False
FIXED_FRONTIER,RES-01,research_synthesis,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,RES-02,research_synthesis,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,RES-03,research_synthesis,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,RES-04,research_synthesis,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,RES-05,research_synthesis,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,OPS-01,agent_operations,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,OPS-02,agent_operations,dialagram,qwen-3.8-max,False,0.0045,1450.0,False,False
FIXED_FRONTIER,OPS-03,agent_operations,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,OPS-04,agent_operations,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_FRONTIER,OPS-05,agent_operations,dialagram,qwen-3.8-max,True,0.0045,1450.0,False,False
FIXED_ECONOMY,SWE-01,software_engineering,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,SWE-02,software_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,SWE-03,software_engineering,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,SWE-04,software_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,SWE-05,software_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,SRE-01,devops_sre,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,SRE-02,devops_sre,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,SRE-03,devops_sre,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,SRE-04,devops_sre,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,SRE-05,devops_sre,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,DE-01,data_engineering,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,DE-02,data_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,DE-03,data_engineering,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,DE-04,data_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,DE-05,data_engineering,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,RES-01,research_synthesis,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,RES-02,research_synthesis,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,RES-03,research_synthesis,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,RES-04,research_synthesis,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,RES-05,research_synthesis,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,OPS-01,agent_operations,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,OPS-02,agent_operations,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,OPS-03,agent_operations,dialagram,xiaomi-mimo-2.5,True,0.0008,480.0,False,False
FIXED_ECONOMY,OPS-04,agent_operations,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
FIXED_ECONOMY,OPS-05,agent_operations,dialagram,xiaomi-mimo-2.5,False,0.0008,480.0,False,False
RANDOM_ELIGIBLE,SWE-01,software_engineering,dialagram,qwen-3.8-max,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SWE-02,software_engineering,dialagram,qwen-3.8-max,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SWE-03,software_engineering,dialagram,xiaomi-mimo-2.5,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SWE-04,software_engineering,dialagram,deepseek-v4,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SWE-05,software_engineering,dialagram,deepseek-v4,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SRE-01,devops_sre,dialagram,deepseek-v4,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SRE-02,devops_sre,dialagram,qwen-3.8-max,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SRE-03,devops_sre,dialagram,qwen-3.8-max,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SRE-04,devops_sre,dialagram,tencent-hy3,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,SRE-05,devops_sre,dialagram,qwen-3.8-max,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,DE-01,data_engineering,dialagram,qwen-3.8-max,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,DE-02,data_engineering,dialagram,qwen-3.8-max,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,DE-03,data_engineering,dialagram,deepseek-v4,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,DE-04,data_engineering,dialagram,deepseek-v4,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,DE-05,data_engineering,dialagram,qwen-3.8-max,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,RES-01,research_synthesis,dialagram,deepseek-v4,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,RES-02,research_synthesis,dialagram,tencent-hy3,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,RES-03,research_synthesis,dialagram,deepseek-v4,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,RES-04,research_synthesis,dialagram,tencent-hy3,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,RES-05,research_synthesis,dialagram,xiaomi-mimo-2.5,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,OPS-01,agent_operations,dialagram,qwen-3.8-max,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,OPS-02,agent_operations,dialagram,deepseek-v4,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,OPS-03,agent_operations,dialagram,tencent-hy3,True,0.0022,850.0,False,False
RANDOM_ELIGIBLE,OPS-04,agent_operations,dialagram,xiaomi-mimo-2.5,False,0.0022,850.0,False,False
RANDOM_ELIGIBLE,OPS-05,agent_operations,dialagram,xiaomi-mimo-2.5,False,0.0022,850.0,False,False
POLICY_CONSTRAINED_ROUTING,SWE-01,software_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SWE-02,software_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SWE-03,software_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SWE-04,software_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SWE-05,software_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SRE-01,devops_sre,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SRE-02,devops_sre,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SRE-03,devops_sre,dialagram,qwen-3.8-max,False,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SRE-04,devops_sre,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,SRE-05,devops_sre,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,DE-01,data_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,DE-02,data_engineering,dialagram,qwen-3.8-max,False,0.0035,1200.0,False,False
