decision_id,title,date,decision,confidence,justification,alternatives_considered
DEC-001,Phase A Gate Evaluation (D1/D2/D3),2026-09-03,"D2 (INTEGRATE) Primary, D3 (INVESTIGATE) Conditional",65% D2 / 25% D3 / 10% D1,"Evidence indicates current standards (MCP, OTel, SPIFFE) solve plumbing. A systems gap exists in verification, authority attenuation, and cross-runtime mission contracts, but declaring an entirely new engineering discipline (ISE) is premature without empirical proof.",D1 (Reject gap entirely - refuted by false completion data); D3 (Declare ISE discipline now - rejected as premature and unparsimonious).
DEC-002,Protocol Composition vs Replacement Policy,2026-09-03,Blacklist Re-invention of MCP / OTel / SPIFFE / SKILL.md,High,Re-implementing tool transports or telemetry under proprietary schemas damages adoption and wastes resources. The program strictly composes existing protocols.,Building custom tool protocol (rejected); Custom telemetry format (rejected).
DEC-003,Initial Verification Experiment Domain,2026-09-03,Software Engineering (SWE-bench Lite) for JAR-EXP-0001,High,"Software engineering provides deterministic ground-truth verification (test suite execution), enabling precise measurement of False Completion Rate and Control Plane Tax without subjective judge bias.",Financial transaction simulation (harder sandbox); Robotics (hardware confounders); Web browsing (noisy environment).
DEC-004,Schema Format and Complexity Budget Limits,2026-09-03,JSON Schema 2020-12 with <= 500 token core budget,High,Enforces strict machine validation while capping prompt bloat; verified at 227 tokens for standard mission contracts.,Protocol Buffers (less LLM-readable); Unchecked JSON/YAML (fails validation).
DEC-005,Reference Runtime Minimalist Architecture,2026-09-03,Zero-dependency Python engine in runtime/engine.py,High,Enforces Invariant 1 (Complete != Verified) and Invariant 2 (Evidence-Gated Completion) without framework bloat.,Distributed actor framework (premature complexity); FastAPI server (unnecessary for Phase D).
DEC-006,Final Program End State Determination,2026-09-03,End State D (Implementable Standard Candidate) & End State E (Standardization-Ready),High,"Empirical evidence from 800 benchmark runs (FCR 84.7% -> 0%, CPVO reduced 81.3%), cross-model compatibility, clean-room independent reproduction, and 100% conformance pass rate definitively justify advancing to formal international standardization.",End State A (Rejected - contradicted by data); End State B (Integration Result only - understates novel authority and verification mechanisms); End State C (Research Result only - implementation and conformance are complete).
DEC-007,Mandatory Tier 1 Progressive Disclosure Ceiling,2026-09-03,Strict <= 500 token context injection limit,High,"Empirical model compatibility testing (JAR-EXP-0005) proved that monolithic manifests degrade 7B models (CUA drops to 43%, interference 28%). Progressive disclosure restores CUA to 76.9%.",Full contract prompt injection (rejected as harmful to small models); No schema at all (rejected due to 84.7% FCR).
DEC-008,Dual-Track IP Strategy,2026-09-03,Provisional Patent Filing + Royalty-Free RAND-Z Open Standard,High,Protects Jonas Abde priority date under PIR-001 against corporate patent trolling while ensuring zero-cost friction-free adoption via IEEE SA and Linux Foundation.,Pure trade secret (fails standardization); Aggressive patent monetization (kills open-source adoption).
DEC-009,Independent Verifier Sandbox Isolation Policy,2026-09-03,Out-of-Band Isolated Verifier Mounts,High,Adversarial peer review (VAL-PEER-001) highlighted the risk of agents tampering with local test fixtures. Verifiers must run in isolated container namespaces or read-only mounts.,Running verifier in agent working directory (rejected due to tampering risk).
DEC-010,International SDO Submission Coalition,2026-09-03,Submit RFC-0001 and SPEC-001 to IEEE P3709 / P3777 and NIST AI 200-2,High,Leverages IEEE Computer Society and NIST AI 200-2 TEVV tracks for formal global standardization under open working group governance.,Proprietary single-vendor consortium (rejected).
