standard,layer,standardized_already,not_standardized,overlap_with_hypotheses,reuse_strategy,is_contribution_covered
AGENTS.md,Repo Guidance,Flat markdown repo guidelines for coding agents,Runtime state machine / verification / authority / budgets,High overlap with human instructions and repo context,REUSE 100% as natural-language context input,NO - Static prompt text only
Agent Skills (SKILL.md),Procedural Instructions,Directory layout / triggers / executable assets for tools,Cross-agent mission coordination / authority attenuation / evidence verification,High overlap with atomic capability execution,REUSE 100% as capability definition primitive,NO - Procedural recipes without mission contracts
Model Context Protocol (MCP),Tools & Data,Client-host JSON-RPC protocol for tool discovery and invocation,Long-horizon mission state / acceptance criteria / cross-agent authority,High overlap with tool execution layer,REUSE 100% as concrete capability transport,NO - Plumbing only; no verification or mission lifecycle
A2A (Agent-to-Agent),Agent Comms,Agent discovery via Agent Cards and message envelopes,End-to-end outcome verification / cascading authority revocation,High overlap with inter-agent addressing,REUSE as multi-agent communication substrate,NO - Messaging envelope only; no contract assurance
OpenTelemetry GenAI,Observability,Standardized attributes for spans / token counts / model latency,Business-level outcome verification / Control Plane Tax / false completion,High overlap with execution telemetry,REUSE 100% for all mission telemetry spans,NO - Observability records events; does not verify intent
OAuth 2.0 / RFC 8693,Identity & Auth,Bearer tokens / scoped authorization / on-behalf-of token exchange,Dynamic agent authority attenuation / prompt injection resistance,High overlap with principal delegation,REUSE RFC 8693 for mission delegation tokens,PARTIALLY - Identity solved; agent-mission binding not
SPIFFE / SPIRE,Workload Identity,Cryptographic SVIDs and mTLS attestation for containers/nodes,Dynamic ephemeral reasoning agent identity and reasoning provenance,Moderate overlap with runtime node identity,REUSE for host and container verification sandboxes,PARTIALLY - Workload solved; reasoning-level not
OWASP Agentic Security,Security Governance,Threat taxonomy for agentic AI (prompt injection / excessive agency),Prescriptive normative protocol for cross-runtime policy enforcement,High overlap with safety invariants,ALIGN as mandatory test criteria,NO - Threat taxonomy only; no systems contract
NIST AI 200-2 (TEVV-Athlon),Assurance,Four-stage TEVV methodology (Events / Tools / Blocks) for agentic AI,Runtime machine-readable schemas and real-time evidence generation,High overlap with assurance and evidence concepts,MAP DIRECTLY into assurance/evidence primitives,NO - High-level framework only; no execution contract
IEEE P3709 / P3777,Agent Frameworks,Technical requirements (P3709) and benchmarking metrics (P3777),Filesystem manifest schema / vendor-neutral wire protocol,High overlap with system metrics (VSR / FCR),MONITOR & ALIGN metric definitions,NO - Active working groups; no reference execution schema
ISO/IEC 42001 / 5338,Governance,AI management systems (AIMS) and AI lifecycle standards,Operational protocols / developer schemas / machine contracts,Moderate overlap with organizational governance,COMPLY for audit trail exports,NO - High-level process governance only
CycloneDX ML-BOM,Supply Chain,Machine-readable BOM for models / training datasets / software deps,Runtime execution state / tool resolution graphs / action evidence,Moderate overlap with model declaration,REUSE for static model supply chain manifests,NO - Static artifact manifest only
C2PA,Content Provenance,Cryptographic signatures for digital media authenticity,Non-media agent state logs / code changes / database mutations,Moderate overlap with evidence verification,REUSE as evidence provider for generated media,PARTIALLY - Media provenance covered; action evidence not
Temporal / Durable Engines,State & Execution,Durable execution / event-sourced state / compensation sagas,Non-deterministic model reasoning / prompt security / MCP integration,High overlap with state durability,REUSE architecture patterns for durable runtime,PARTIALLY - Deterministic state solved; non-deterministic planning not
