claim_id,statement,type,status,confidence,evidence_scope,source_refs,last_verified,notes
C-001,"A systems-level gap may exist between current AI-native protocols and verified mission outcomes.",Hypothesis,PARTIALLY_SUPPORTED,Moderate,"PRIOR_ART + DETERMINISTIC + LIVE_CONFIRMATORY_MIXED","EVIDENCE-AUDIT-AND-CLAIM-REGISTRY.md; STUDY-011 canonical-run-002; RADAR #102/#103",2026-09-11,"Deterministic work supports a systems integration problem, but STEAD overlap narrows novelty and STUDY-011 does not validate the old D1/D2/D3 gate narrative. Treat the gap as scoped and contestable, not a settled new-discipline claim."
C-002,"Evidence-gated completion can reduce false completion in long-horizon agent tasks.",Hypothesis,PARTIALLY_SUPPORTED,High,"SIMULATION_SUPPORTED; LIVE_CONFIRMATORY_H1_REVERSED","data/results_mission_bench.csv; data/study011_runs/confirmatory/canonical-run-002-analysis/results.json; STUDY-011-AMENDMENT-011-POST-EXECUTION-FREEZE.md",2026-09-11,"MISSION-Bench supports the mechanism in deterministic/simulated workloads. In preregistered STUDY-011, H1 was REVERSED because baseline A abstained enough to floor FCR at 0; do not claim live confirmation of the old FCR hypothesis."
C-003,"A vendor-neutral mission contract can improve cross-runtime portability.",Hypothesis,SUPPORTED,Moderate,"DETERMINISTIC_IN_TREE_CONFORMANCE","tests/test_node_conformance.py; tests/test_validation.py",2026-09-11,"Supported across in-tree Native/LangGraph/AutoGen/Node-style validation surfaces. Independent external reproduction remains pending, so this is not an external replication claim."
C-004,"Human-first mission UX can outperform chat-only interaction on verified outcome efficiency.",Hypothesis,OPEN,Low,"HUMAN_UNTESTED; GOMS_SIMULATION_ONLY","STUDY-006-HCI-PREREGISTRATION.md; experiments/hci_cognitive_model.py; data/results_hci_pilot_simulation.csv",2026-09-11,"N=0 live humans. The 6.6→2.0 HEVO result is a deterministic GOMS/persona simulation used to validate the measurement pipeline, not evidence of human preference or efficiency."
C-005,"Control and verification overhead can be economically justified by improved verified outcomes.",Hypothesis,PARTIALLY_SUPPORTED,Moderate,"SIMULATION_SUPPORTED","data/results_mission_bench.csv; STUDY-002",2026-09-11,"The reported CPVO improvement is supported inside the deterministic/simulated benchmark cost model. Live billed-cost evidence and sensitivity analysis are still required for a general economic claim."
C-006,"AIE should remain separate from ISE while potentially contributing authority semantics.",Boundary decision,SUPPORTED,High,"GOVERNANCE_DECISION","research program architecture and decision records",2026-09-11,"Program boundary decision; not an empirical efficacy claim."
C-007,"Tool invocation and resource reading are solved by Model Context Protocol (MCP).",Prior-art finding,SUPPORTED,High,"PRIOR_ART","STUDY-001",2026-09-11,"Reuse MCP transport/tool semantics; do not reinvent tool transport. 'Solved' is scoped to the transport/interface role, not every security or governance concern."
C-008,"LLM application telemetry is converging on OpenTelemetry GenAI Semantic Conventions.",Prior-art finding,SUPPORTED,High,"PRIOR_ART","STUDY-001",2026-09-11,"Reuse OpenTelemetry-compatible telemetry primitives where they fit; convergence does not make telemetry an authority source."
C-009,"Workload identity is addressed by SPIFFE/SPIRE while dynamic mission delegation still requires separate authority semantics.",Prior-art finding,PARTIALLY_SUPPORTED,High,"PRIOR_ART + ENGINEERING_BOUNDARY","STUDY-001; AIE; Muse comparator notes",2026-09-11,"SPIFFE/SPIRE addresses workload identity. The stronger claim that delegation authority is broadly unsolved must remain scoped against current external work; Muse is architectural convergence, not validation of Aftergraph semantics."
C-010,"Agent self-reported completion exhibits material false-completion risk in evaluated long-horizon workloads.",Empirical finding,PARTIALLY_SUPPORTED,Moderate,"DETERMINISTIC + EXTERNAL_PRIOR_RESULTS; NOT_UNIVERSAL_RATE","STUDY-002; EVIDENCE-AUDIT-AND-CLAIM-REGISTRY.md",2026-09-11,"Retain the observed failure mode, but do not promote one 15–45% or 84.7% range to a population-level universal rate. Rates depend on workload, verifier and failure injection."
C-011,"Progressive disclosure can reduce contract-comprehension degradation in smaller-model simulations.",Risk claim,PARTIALLY_SUPPORTED,Moderate,"SIMULATION_SUPPORTED","data/results_model_compatibility.csv; experiments/model_compatibility.py",2026-09-11,"Q3-2026 tier parameters are calibrated estimates, not live measurements of named <=14B models. Live confirmation remains pending."
C-012,"Monolithic new standards may face higher adoption friction than compositional profiles.",Standardization claim,PARTIALLY_SUPPORTED,Moderate,"PRIOR_ART + DESIGN_HYPOTHESIS","STUDY-001 standards analysis",2026-09-11,"Use as a design/standardization hypothesis, not a measured adoption law."
C-013,"A three-tier progressive disclosure contract can keep the core schema footprint under 250 tokens in the measured implementation.",Formalization claim,SUPPORTED,High,"DETERMINISTIC_MEASUREMENT","SPEC-001; tests/test_schemas.py",2026-09-11,"Measured core payload footprint was 227 tokens in the referenced implementation; third-party tool definitions add separate context cost."
C-014,"Deterministic JSON serialization enables tamper-evident signing inputs for mission contracts and delegation grants.",Formalization claim,SUPPORTED,High,"DETERMINISTIC_CRYPTOGRAPHIC_CONSTRUCTION","SPEC-001 schema/canonicalization tests",2026-09-11,"This supports deterministic signing inputs; it does not by itself prove key custody, signer identity or distributed non-repudiation."
C-015,"Reference Runtime v0.1 intercepts agent self-reported completion and deterministically enforces the implemented completion/evidence invariants.",Implementation claim,SUPPORTED,High,"DETERMINISTIC_IN_TREE","runtime/engine.py; tests/test_runtime.py",2026-09-11,"Implementation claim only. External architectural convergence such as Muse does not validate SPEC-001 or AIE conformance."
C-016,"Closed-loop automated diagnostic recovery reduced Cost Per Verified Outcome by 81.3% in MISSION-Bench's tested cost model.",Empirical finding,PARTIALLY_SUPPORTED,High,"SIMULATION_SUPPORTED","data/results_mission_bench.csv; STUDY-002",2026-09-11,"The 81.3% figure is specific to the deterministic/simulated benchmark cost and failure distribution. It is not a general live-provider economics result."
C-017,"Purpose-bound authority attenuation blocked unauthorized capability executions in the evaluated deterministic/adversarial fixtures.",Security claim,PARTIALLY_SUPPORTED,High,"DETERMINISTIC + ADVERSARIAL_FIXTURES","security/test_security_suite.py; runtime/engine.py; STUDY-011 H2 analysis",2026-09-11,"0 observed unauthorized actions in evaluated fixtures is not a population-level security guarantee. STUDY-011 H2 supports a marginal authority+budget effect over assurance in both live provider strata, not universal zero-UAR."
